Real,Simple,Expansiva,Deslizante
35871.72,29056.07823090136,29106.420115790366,29106.420115790366
35772.96,14202.95874309361,13958.500834743976,13958.500834743976
13996.74,3929.364631640911,3817.5452596949785,3817.5452596949785
11228.42,5115.54324411571,6252.627471742928,6252.627471742928
29896.24,16330.597560845017,18397.900986028315,18397.900986028315
56362.81,28510.13439220011,31049.492604907155,31049.492604907155
58617.62,35820.706541378495,38299.995649229284,38299.995649229284
59864.86,42130.01180889368,44084.05805320859,44084.05805320859
57153.49,44411.8312118113,46277.40046942949,46277.40046942949
57609.04,43973.75705186605,45876.49467112064,45876.49467112064
57726.73,41412.941452522275,42743.98636911154,42743.98636911154
54952.77,38931.927263407706,55857.82258183956,55857.82258183956
50344.71,31272.477689651252,44486.22582371712,44486.22582371712
39095.01,15672.529228861331,20870.88216250181,20870.88216250181
12739.29,4569.735443702042,4868.192351331264,4868.192351331264
10204.36,6128.137484043687,8522.911599722207,8522.911599722207
28268.82,18275.657559695243,24931.893264098166,24931.893264098166
48549.4,30867.187792202232,39619.420387551785,39619.420387551785
54712.76,37697.33252790212,45450.89744121075,45450.89744121075
55367.06,43467.40903814554,50313.57734746337,50313.57734746337
51570.3,45470.98093762398,52595.91388883591,52595.91388883591
55642.78,44933.905637500284,51745.49127745628,51745.49127745628
51865.68,42389.634609471555,50305.93218866348,50305.93218866348
49678.06,39147.91361242056,47020.05760159254,47020.05760159254
37108.03,30633.74994995713,38302.81675527811,38302.81675527811
10755.54,15290.60704293847,20103.433258440495,20103.433258440495
4225.79,4172.1037299953405,5637.184952272922,5637.184952272922
6997.75,4270.729076464474,5144.568604708314,5144.568604708314
25522.08,14944.498624639511,17202.294244856836,17202.294244856836
45671.03,26982.1426979959,30222.962561993,30222.962561993
49647.02,34608.84660167813,37617.14519345284,37617.14519345284
46852.16,41072.27456572652,43445.65063061714,43445.65063061714
47515.59,43738.968474850655,46503.420848164555,46503.420848164555
54586.61,43247.95708963632,46022.497522063255,46022.497522063255
18214.39,40874.106337954996,43954.078775883914,43954.078775883914
8395.9,36757.53758563518,24525.142643476127,24525.142643476127
10110.18,27804.08024269104,20318.358315848112,20318.358315848112
3487.06,12989.053405026792,10099.975488131344,10099.975488131344
1708.26,2850.068214323968,2805.062214182913,2805.062214182913
3492.96,3510.914718286991,3042.9024869686364,3042.9024869686364
18892.03,14152.77701675594,12942.35078553319,12942.35078553319
46271.93,26226.77901088655,26173.810911679862,26173.810911679862
52903.64,34132.73575060129,34558.93888153672,34558.93888153672
54201.92,41247.95112995148,41065.902956852915,41065.902956852915
55982.15,43999.135428578855,43000.95787029743,43000.95787029743
53283.04,43565.44922701597,43095.918383891585,43095.918383891585
52019.45,41043.00607287526,39778.75306105614,39778.75306105614
50124.79,39584.007981116774,47355.94288730145,47355.94288730145
34032.91,31471.81526780963,37389.58883632183,37389.58883632183
8238.8,16453.03394928813,18879.057796282767,18879.057796282767
5743.95,4583.59880649805,4687.773260846734,4687.773260846734
10285.76,3936.987599798143,5107.847915167213,5107.847915167213
24017.71,14866.4859731704,17716.372320705654,17716.372320705654
26722.88,28069.29894446015,31316.09291538417,31316.09291538417
35365.44,36396.66756591797,38942.81418565631,38942.81418565631
55648.13,43005.08725945234,45272.17593488932,45272.17593488932
