Estrategia,RMSE,MAE,MAPE (%)
1. Simple (Recursiva),13717.842781387833,10873.265217924745,69.89259651298772
2. Ventana Expansiva,10880.589406619027,8033.711705394713,79.98343417408753
3. Ventana Deslizante,10880.589406619027,8033.711705394713,79.98343417408753
