Estrategia,RMSE,MAE,MAPE (%)
7 Días (84h),11011.372516587357,8378.54919622113,75.30687058801948
14 Días (168h),10972.73665061188,8049.068531701555,73.69358799748197
30 Días (360h),10660.552603309483,7875.226205560375,77.18999914264081
