Month,Fecha,SARIMAX_Err,LSTM_Err
2023-01,2023-01-16 21:35:23.076923136,10197.716948299372,5200.524552750482
2023-02,2023-02-14 19:30:00.000000000,9856.079989620966,4047.0286979541675
2023-03,2023-03-16 11:30:00.000000000,10457.797763004659,6956.290776898638
2023-04,2023-04-15 23:30:00.000000000,12361.040087107178,10023.132193749634
2023-05,2023-05-16 11:30:00.000000000,10652.57049483695,8352.584616510987
2023-06,2023-06-15 23:30:00.000000000,10513.094955047516,9660.173709245155
2023-07,2023-07-16 11:30:00.000000000,9826.000134988073,7733.758819602188
2023-08,2023-08-16 11:30:00.000000000,11375.293810061085,8494.59992575009
2023-09,2023-09-15 23:30:00.000000000,11296.06515597529,9454.995878410178
2023-10,2023-10-16 11:30:00.000000000,11508.780329050896,9601.142496068278
2023-11,2023-11-15 23:30:00.000000000,11764.589067398183,9695.389436723783
2023-12,2023-12-16 08:32:11.707316992,10517.136219184946,6278.40920309752
