Fecha,Año,Mes,Dia,Recurso,6,7,8,9,10,11,12,13,14,15,16,17,Temperatura_Tt,Viento_Wt,Irradiancia_It,Promedio_Generacion
2019-02-02,2019,2,2,EL PASO,723.45,3477.21,3513.77,3507.62,3498.21,3482.34,3465.56,3458.52,3452.26,3446.66,3446.86,2059.59,32.84166666666667,7.641666666666667,524.4166666666666,3127.6708333333336
2019-02-03,2019,2,3,EL PASO,866.05,3298.43,3309.18,3302.31,3285.76,3271.82,3180.92,3048.91,3045.2,3040.66,3037.74,1571.87,32.925000000000004,9.725,535.6666666666666,2854.904166666667
2019-02-04,2019,2,4,EL PASO,823.04,3076.03,2700.75,2706.91,2637.31,2565.08,2919.6,3178.16,3785.85,4436.78,4496.9,1508.49,33.18333333333333,7.116666666666667,531.8333333333334,2902.908333333333
2019-02-05,2019,2,5,EL PASO,630.33,4332.41,4538.04,2175.27,2201.8,2116.01,2107.52,2101.38,2096.79,2095.5,2049.32,742.63,33.833333333333336,8.9,535.75,2265.5833333333335
2019-02-06,2019,2,6,EL PASO,380.66,2548.58,2901.28,2892.52,2882.16,4171.32,5906.07,8044.41,7811.51,7527.97,7271.01,2040.66,33.50833333333333,13.558333333333332,525.9166666666666,4531.512500000001
2019-02-07,2019,2,7,EL PASO,889.08,6933.99,10510.72,12271.73,12967.86,13146.8,13951.95,14046.48,13494.16,11962.53,9961.87,2650.93,33.775,15.3,526.75,10232.341666666665
2019-02-08,2019,2,8,EL PASO,1157.82,10382.56,18243.6,19892.99,20027.28,19971.62,19930.38,20341.34,20232.93,18295.44,11321.58,2690.83,33.43333333333333,17.258333333333333,521.5833333333334,15207.364166666664
2019-02-09,2019,2,9,EL PASO,1316.97,10386.48,16364.65,14133.46,8773.28,7247.02,7773.76,7768.34,7763.67,7762.6,7574.76,2983.73,33.141666666666666,18.0,518.3333333333334,8320.726666666666
2019-02-10,2019,2,10,EL PASO,1408.49,7397.81,7935.97,7578.22,7483.93,7453.29,7429.94,7414.45,7407.84,7404.79,6768.64,2358.42,32.96666666666667,20.741666666666667,535.0,6503.482499999999
2019-02-11,2019,2,11,EL PASO,1462.48,7015.46,7467.04,8460.43,20614.13,22445.48,20616.66,19452.51,18404.1,12031.49,7442.75,2248.08,33.34166666666667,16.599999999999998,512.3333333333334,12305.050833333333
2019-02-12,2019,2,12,EL PASO,1623.47,9465.13,16459.42,24463.58,24479.97,24835.15,24345.06,23853.95,22907.81,19874.24,12520.9,3092.53,33.63333333333333,7.633333333333334,529.25,17326.767499999998
2019-02-13,2019,2,13,EL PASO,1286.86,9693.16,18664.65,23841.39,28205.2,30024.35,29884.85,28245.54,24975.74,20719.44,11370.66,3108.57,32.96666666666667,5.833333333333333,503.8333333333333,19168.3675
2019-02-14,2019,2,14,EL PASO,0.0,0.0,0.0,0.0,11228.69,30679.9,29029.22,29951.4,24438.18,19391.9,9668.32,1658.06,32.975,5.025,490.6666666666667,13003.805833333332
2019-02-15,2019,2,15,EL PASO,549.53,5515.68,13913.79,21469.63,25978.95,25778.26,29376.96,27514.82,26369.02,17207.19,10114.92,1927.88,33.63333333333333,4.966666666666667,494.0,17143.0525
2019-02-16,2019,2,16,EL PASO,807.1,6480.75,14353.54,19390.02,22191.57,22789.03,19217.11,17398.09,15980.21,13475.81,9035.94,2494.28,33.4,4.45,484.75,13634.454166666668
2019-02-17,2019,2,17,EL PASO,806.82,6669.57,12590.5,15408.3,17020.98,17913.73,18072.33,16716.97,13296.72,13797.42,7973.68,1307.46,33.84166666666667,5.458333333333333,502.5833333333333,11797.873333333331
2019-02-18,2019,2,18,EL PASO,881.67,7144.29,11841.3,13254.79,14629.93,15972.76,16196.83,15735.59,14885.55,14486.01,9253.38,1994.16,33.625,7.266666666666667,503.6666666666667,11356.355000000001
2019-02-19,2019,2,19,EL PASO,837.41,7334.9,15373.76,20579.7,23102.99,22647.94,23739.96,22706.19,17680.81,11770.54,4467.34,1114.81,33.65833333333333,10.825,487.9166666666667,14279.695833333333
2019-02-20,2019,2,20,EL PASO,309.18,3331.35,6151.31,7757.86,8660.68,13387.83,15078.41,14940.47,12900.58,15286.66,7530.5,3317.65,32.25,5.191666666666666,424.25,9054.373333333333
2019-02-21,2019,2,21,EL PASO,1119.14,5087.8,12349.51,19079.54,28119.71,30963.05,32934.55,31974.89,31154.94,26518.62,15038.54,3434.79,34.166666666666664,12.4,526.0,19814.59
2019-02-22,2019,2,22,EL PASO,1330.39,10224.8,22716.74,29219.15,32810.88,34050.27,33312.39,31650.71,26728.75,14130.15,7669.06,1665.67,34.175000000000004,12.4,523.9166666666666,20459.079999999998
2019-02-23,2019,2,23,EL PASO,2088.34,9140.33,21975.62,25944.6,29060.97,26765.91,30655.5,31645.7,25727.62,19113.22,9412.21,2039.72,33.75833333333333,10.725,509.5833333333333,19464.145
2019-02-24,2019,2,24,EL PASO,1370.34,10989.24,23125.64,29152.69,29983.13,31168.29,31246.53,28040.68,25379.79,22241.08,12730.22,2773.11,33.708333333333336,16.599999999999998,556.9166666666666,20683.395
2019-02-25,2019,2,25,EL PASO,1403.42,10987.68,22331.86,24765.6,26177.79,27232.27,27008.28,27142.39,26933.79,21446.74,11584.73,2466.33,33.65,19.725,547.9166666666666,19123.40666666667
2019-02-26,2019,2,26,EL PASO,1538.75,11487.22,23729.85,24233.93,26065.08,28376.27,31478.43,30872.26,27733.87,22256.01,13615.09,3268.82,33.80833333333333,21.20833333333333,547.5,20387.965
2019-02-27,2019,2,27,EL PASO,1590.71,11110.79,24235.1,28534.85,28200.05,31801.33,33459.58,32675.3,27735.96,19014.62,13007.48,3403.73,33.35,12.075,523.6666666666666,21230.791666666668
2019-02-28,2019,2,28,EL PASO,1632.86,11044.01,21674.16,27901.07,30737.37,32550.41,33910.09,33722.48,27897.9,15230.48,10900.36,3228.13,33.550000000000004,5.2250000000000005,527.9166666666666,20869.11
2019-03-01,2019,3,1,EL PASO,1237.06,7805.15,20701.65,26975.31,31640.12,33836.68,33959.1,32248.91,27849.18,21851.08,11204.22,3031.99,33.88333333333333,4.058333333333334,480.0,21028.37083333333
2019-03-02,2019,3,2,EL PASO,552.55,6418.68,11655.73,24217.74,28879.78,29406.17,32636.06,29510.71,27805.38,22161.63,8256.06,1921.66,30.508333333333336,5.516666666666667,427.0833333333333,18618.5125
2019-03-03,2019,3,3,EL PASO,1393.11,11539.08,25199.55,34447.02,39574.56,41484.21,40832.47,34019.09,30010.12,25148.5,8291.65,3355.3,31.825,4.05,504.75,24607.888333333332
2019-03-04,2019,3,4,EL PASO,1516.63,11353.32,23601.44,25959.29,29797.75,30715.62,35203.54,36840.83,28745.77,21285.47,8469.24,1616.45,32.40833333333333,4.6000000000000005,477.5833333333333,21258.779166666664
2019-03-05,2019,3,5,EL PASO,1917.45,10342.64,16724.53,23868.28,21832.04,28558.04,34793.05,35898.13,33392.34,23648.32,7736.32,1397.72,31.6,6.233333333333333,455.25,20009.07166666667
2019-03-06,2019,3,6,EL PASO,1612.74,12934.21,26099.49,31705.14,36444.07,37872.09,41212.38,36398.83,33048.28,28219.36,14942.29,3537.71,32.225,9.258333333333333,495.5833333333333,25335.549166666668
2019-03-07,2019,3,7,EL PASO,1244.19,8310.75,20324.61,29808.52,35528.91,38803.04,37906.83,33827.49,33934.2,31184.95,21233.2,4709.69,33.391666666666666,16.416666666666668,507.25,24734.698333333337
2019-03-08,2019,3,8,EL PASO,2988.86,24859.65,36223.51,39722.46,41071.72,43174.39,43372.63,41849.64,34528.58,21576.78,7441.55,1495.08,33.69166666666667,14.05,523.9166666666666,28192.070833333342
2019-03-09,2019,3,9,EL PASO,2227.46,12559.43,26773.41,35709.29,39318.74,42086.68,43605.74,42484.37,38650.19,28357.62,13843.28,3055.35,34.733333333333334,11.75,544.3333333333334,27389.29666666666
2019-03-10,2019,3,10,EL PASO,999.22,10411.98,25735.81,19091.61,35287.75,42227.59,41728.0,38683.39,34531.54,18778.5,4354.81,777.09,33.80833333333333,5.7250000000000005,500.5833333333333,22717.27416666667
2019-03-11,2019,3,11,EL PASO,2120.35,12732.2,32939.97,39058.19,39386.56,39107.38,40227.82,43441.11,38788.45,30659.54,18391.07,6090.65,33.90833333333333,12.475,513.9166666666666,28578.607500000002
2019-03-12,2019,3,12,EL PASO,4504.43,28094.8,40825.04,44503.73,45810.05,44998.93,43304.17,40765.42,38944.38,35778.79,18583.75,4317.47,33.775,16.341666666666665,534.25,32535.913333333327
2019-03-13,2019,3,13,EL PASO,4316.38,26047.56,35760.53,38254.84,39927.91,40895.47,41165.31,40447.72,29852.48,31831.24,20151.62,3530.11,33.641666666666666,11.716666666666669,531.5,29348.43083333333
2019-03-14,2019,3,14,EL PASO,4624.91,28916.98,41219.45,42236.47,43564.61,43007.72,44584.59,44657.38,38384.44,34736.3,23536.12,4578.61,33.43333333333333,7.716666666666666,495.4166666666667,32837.29833333333
2019-03-15,2019,3,15,EL PASO,4198.46,22251.09,38542.68,44170.4,44424.4,45709.01,45589.52,45357.47,41152.53,24773.17,23075.23,2220.12,33.641666666666666,5.791666666666667,479.0,31788.673333333336
2019-03-16,2019,3,16,EL PASO,4668.49,28916.75,43039.2,47652.68,49405.94,49461.72,49652.65,48550.11,46267.98,40271.21,28380.85,5966.72,34.575,10.008333333333333,511.5,36852.85833333333
2019-03-17,2019,3,17,EL PASO,4871.08,29562.39,42680.11,46501.42,47623.21,46801.88,42749.39,21403.11,0.0,0.0,9981.25,2702.49,34.46666666666667,9.916666666666666,492.9166666666667,24573.027499999997
2019-03-18,2019,3,18,EL PASO,4942.41,28272.29,39105.31,45371.23,49023.24,47796.9,43306.45,42677.82,40654.0,33174.89,25061.63,5482.98,34.74166666666667,8.433333333333334,503.0833333333333,33739.09583333333
