Modelo,RMSE,MAE,MAPE (%),Error Total (%)
"SARIMAX(2,0,2)(1,1,2)_12",1370291.32,1194533.35,9.16,6.0
"LSTM(IW=12,HS=32,NL=1)",1665712.3,1479802.25,11.13,11.37
