Modelo,RMSE_Mensual,MAE_Mensual,MAPE_Mensual (%)
SARIMAX,1223760.1742834088,872761.345552953,6.416955650289393
LSTM,1831840.950177044,1236790.3583061183,8.999099304638975
MLP,1028498.4750739514,957490.7931359978,7.405625831652679
XGB_Mem,3178523.9440339482,3066689.223752793,23.378018202390034
XGB_Direct,1987867.0934164282,1796994.4787443923,13.542027260645916
