Estrategia,RMSE,MAE,MAPE (%)
1. División Simple,9397.617444983118,6938.319000954121,77.64207874720042
2. Ventana Expansiva,8738.081929935543,6208.972407600313,77.48389418516749
3. Ventana Deslizante,8738.081929935413,6208.972407600227,77.48389418516788
