Modelo,Tiempo_s,RMSE,MAE,MAPE (%),AIC,BIC
"SARIMAX(1,0,1)(1,0,1)_12",15.7,10848.133635948629,8484.690495952278,88.11756200025494,308691.504379821,308760.16465189407
"SARIMAX(2,0,2)(1,0,1)_12",43.3,10758.346916110382,8406.080129254417,87.55624066381246,308307.24881319003,308391.1661996983
"SARIMAX(2,0,2)(1,1,1)_12",134.4,9545.231818103595,7085.899663653803,84.71091255665456,309813.3232729279,309897.2319700802
"SARIMAX(2,0,1)(1,1,1)_12",91.7,9397.617444983118,6938.319000954121,77.64207874720042,309946.08290840144,310022.36420069914
"AUTO ARIMA (1, 1, 2)x(1, 0, 1, 12)",135.4,10827.094939516546,8618.699934874268,179.50830884565212,309845.7963384165,309922.0940797096
