Modelo,RMSE,MAE,MAPE (%)
SARIMAX,1203976.4919752697,1107704.8283333334,8.56093833245516
LSTM,5328785.303503116,5128719.005,38.81516332832326
MLP,3369190.899805109,3128048.0050000004,23.404980499223647
