Mes,Irradiancia_It_mean,Irradiancia_It_std,Temperatura_Tt_mean,Temperatura_Tt_std,Humedad_Ht_mean,Humedad_Ht_std,Viento_Wt_mean,Viento_Wt_std,kWh_Total
2019-01,472.53437499999995,290.8001357080684,34.97927083333334,4.470299566260409,33.695277777777775,11.637369426548146,5.619625,2.3581305353926503,2139572.66
2019-02,475.6513988095238,289.917855344046,35.53404761904762,4.329121828579197,32.364672619047624,11.669659520540334,5.840678571428572,2.0310399815914573,4486629.63
2019-03,437.7625,269.93273058268574,35.81604838709677,3.975914308087319,34.10059139784946,10.426659934281679,5.206838709677419,2.1138968922230714,9895324.82
2019-04,441.6781034482759,270.64410859226376,34.427183908045976,4.1053245247010715,41.97181034482759,15.432722632028542,4.853793103448276,2.0650131783625714,11038504.26
2019-05,434.54787634408603,258.7638721373411,32.200698924731185,4.308044633797484,56.241021505376345,19.886283236148575,3.9763548387096774,1.8993306589209855,8813251.3
2019-06,458.16925,261.39928314279985,32.396638888888894,3.6758988566137805,53.103972222222225,17.013662461720077,4.7766,2.044900399669442,10233720.61
2019-07,505.44620967741935,284.22209179543114,34.652231182795695,4.081568540028398,40.516209677419354,15.528220684170304,5.005645161290323,2.122454461498657,10863822.83
2019-08,499.1791935483871,299.6409724248039,34.07438172043011,3.982886016234616,46.61661290322581,16.995388032424064,4.440096774193549,1.8179906301492095,11254412.1
2019-09,458.17213888888887,283.26937954907856,32.71908333333334,4.001971240425423,52.64738888888889,18.197495354423072,4.4589,1.7371385529338572,10639397.72
2019-10,403.79903225806447,250.62230007204178,29.71709677419355,2.931417448974349,66.46024193548386,15.970151528194487,3.3048387096774197,1.4025988607623374,10448212.44
2019-11,413.1457222222222,257.8946068943961,30.032777777777774,3.2040206384034704,64.74588888888889,16.030346840305388,3.5412000000000003,1.5406629777930219,11376632.94
2019-12,417.1504569892473,265.5706242219871,32.715940860215056,4.008246476104563,48.766854838709676,16.256086500210362,3.493258064516129,1.4742044053118921,11037462.15
2020-01,451.3802419354839,278.74926667413837,34.05916666666667,4.401087050742354,38.663440860215054,15.174526018317346,6.0802258064516135,2.8767978290823795,13595073.94
2020-02,506.30106321839077,305.1098616372778,35.98494252873563,4.45332712419307,31.66235632183908,11.3371332784586,6.440379310344827,2.551750521901786,13433031.04
2020-03,509.14612903225805,303.6711489687035,36.25720430107527,4.3393861877517255,28.893629032258065,9.982768496190568,5.454774193548387,1.8774994331239492,13867717.58
2020-04,461.0903333333333,281.5851064565765,35.55375,4.121965968694456,37.21386111111111,13.317913118855385,4.8713999999999995,2.078036462316932,12546860.0
2020-05,448.027688172043,268.0947150611098,35.18701612903226,4.142975800667243,42.94198924731183,14.488911228690577,4.541709677419355,1.9385761194782152,11828172.19
2020-06,460.9883333333333,263.3364802947723,35.31613888888889,4.042361252187996,39.287416666666665,13.836845436604769,4.4350000000000005,1.6824909706430113,11261314.52
2020-07,454.71228494623654,265.6479117012983,34.314408602150536,3.916995579048698,43.62844086021506,16.119619534923,3.8623548387096776,1.5899369269570385,11209268.61
2020-08,430.64779569892477,262.9600367800702,33.44486559139785,4.0051699383740225,48.04725806451612,17.34143211886558,4.532709677419355,1.898459290658834,10066048.48
2020-09,461.3705,280.7535085239289,31.474861111111114,3.516479862209458,56.374361111111114,16.700704691573375,4.1097,1.7045575346282502,10288366.18
2020-10,433.18155913978495,264.7313498364743,31.921720430107523,3.8747446481988823,53.33819892473119,16.94717281904876,4.161096774193549,1.724144871459276,9869767.84
2020-11,378.17830555555554,244.64347331315705,30.43388888888889,3.4688066211316215,58.00969444444445,15.531390934594373,4.0805,1.9951050446720255,8122495.66
2020-12,437.82688172043015,271.7433449646343,33.51801075268818,4.1834376712472015,41.79083333333333,14.8247723983262,3.926709677419355,1.5084284646630823,10037563.16
2021-01,473.55075268817205,290.4194587571033,32.79822580645161,4.8002411296779535,42.45685483870968,18.133260457657148,4.341774193548387,1.6346570492156938,10639934.37
2021-02,504.3062202380953,300.25159052507104,34.69032738095238,4.482602676813262,36.07220238095238,13.686902135268316,4.460464285714286,1.6221415801906343,10766491.52
