Fecha_Diaria,Temperatura_Tt,Viento_Wt,Irradiancia_It
2019-01-01,33.791666666666664,21.316666666666666,504.0
2019-01-02,33.166666666666664,18.383333333333333,507.5833333333333
2019-01-03,33.44166666666667,10.708333333333334,502.75
2019-01-04,34.09166666666667,7.458333333333333,502.3333333333333
2019-01-05,33.85,4.358333333333333,505.0833333333333
2019-01-06,32.78333333333333,6.558333333333334,476.5
2019-01-07,31.775000000000002,5.416666666666667,455.5833333333333
2019-01-08,30.958333333333332,5.483333333333333,458.0
2019-01-09,30.55,7.441666666666666,415.1666666666667
2019-01-10,28.266666666666666,4.233333333333333,411.9166666666667
2019-01-11,30.683333333333334,5.2,444.1666666666667
2019-01-12,32.13333333333333,9.1,477.5
2019-01-13,32.733333333333334,11.858333333333334,490.25
2019-01-14,33.25,13.700000000000001,501.8333333333333
2019-01-15,33.15833333333333,10.975,495.4166666666667
2019-01-16,33.2,14.033333333333333,491.5833333333333
2019-01-17,33.15833333333333,14.141666666666666,481.9166666666667
2019-01-18,33.483333333333334,13.25,493.0833333333333
2019-01-19,33.9,11.625,499.3333333333333
2019-01-20,33.666666666666664,3.533333333333333,501.4166666666667
2019-01-21,33.40833333333333,11.066666666666668,479.75
2019-01-22,33.575,18.391666666666666,520.0
2019-01-23,33.43333333333333,23.366666666666664,523.0833333333334
2019-01-24,34.199999999999996,8.700000000000001,518.5833333333334
2019-01-25,32.925000000000004,3.266666666666667,503.0833333333333
2019-01-26,33.0,5.733333333333333,504.0833333333333
2019-01-27,32.775,4.983333333333333,510.5
2019-01-28,32.800000000000004,5.1499999999999995,459.3333333333333
2019-01-29,32.166666666666664,3.0416666666666665,492.0833333333333
2019-01-30,31.941666666666666,6.066666666666666,490.3333333333333
2019-01-31,32.86666666666667,12.758333333333333,463.8333333333333
2019-02-01,33.266666666666666,11.758333333333333,528.5
2019-02-02,32.84166666666667,7.641666666666667,524.4166666666666
2019-02-03,32.925000000000004,9.725,535.6666666666666
2019-02-04,33.18333333333333,7.116666666666667,531.8333333333334
2019-02-05,33.833333333333336,8.9,535.75
2019-02-06,33.50833333333333,13.558333333333332,525.9166666666666
2019-02-07,33.775,15.299999999999999,526.75
2019-02-08,33.43333333333333,17.258333333333333,521.5833333333334
2019-02-09,33.141666666666666,18.0,518.3333333333334
2019-02-10,32.96666666666667,20.741666666666667,535.0
2019-02-11,33.34166666666667,16.599999999999998,512.3333333333334
2019-02-12,33.63333333333333,7.633333333333334,529.25
2019-02-13,32.96666666666667,5.833333333333333,503.8333333333333
2019-02-14,32.975,5.0249999999999995,490.6666666666667
2019-02-15,33.63333333333333,4.966666666666667,494.0
2019-02-16,33.4,4.45,484.75
2019-02-17,33.84166666666667,5.458333333333333,502.5833333333333
2019-02-18,33.625,7.266666666666667,503.6666666666667
2019-02-19,33.65833333333333,10.825000000000001,487.9166666666667
2019-02-20,32.25,5.191666666666666,424.25
2019-02-21,34.166666666666664,12.4,526.0
2019-02-22,34.175000000000004,12.4,523.9166666666666
2019-02-23,33.75833333333333,10.725,509.5833333333333
2019-02-24,33.708333333333336,16.599999999999998,556.9166666666666
2019-02-25,33.65,19.724999999999998,547.9166666666666
2019-02-26,33.80833333333333,21.208333333333332,547.5
2019-02-27,33.35,12.075000000000001,523.6666666666666
2019-02-28,33.550000000000004,5.2250000000000005,527.9166666666666
2019-03-01,33.88333333333333,4.058333333333334,480.0
2019-03-02,30.508333333333336,5.516666666666667,427.0833333333333
2019-03-03,31.825,4.05,504.75
2019-03-04,32.40833333333333,4.6000000000000005,477.5833333333333
2019-03-05,31.599999999999998,6.233333333333333,455.25
2019-03-06,32.225,9.258333333333333,495.5833333333333
2019-03-07,33.391666666666666,16.416666666666668,507.25
2019-03-08,33.69166666666667,14.049999999999999,523.9166666666666
2019-03-09,34.733333333333334,11.75,544.3333333333334
2019-03-10,33.80833333333333,5.7250000000000005,500.5833333333333
2019-03-11,33.90833333333333,12.475,513.9166666666666
2019-03-12,33.775,16.341666666666665,534.25
2019-03-13,33.641666666666666,11.716666666666667,531.5
2019-03-14,33.43333333333333,7.716666666666666,495.4166666666667
2019-03-15,33.641666666666666,5.791666666666667,479.0
2019-03-16,34.574999999999996,10.008333333333333,511.5
2019-03-17,34.46666666666667,9.916666666666666,492.9166666666667
2019-03-18,34.74166666666667,8.433333333333334,503.0833333333333
2019-03-19,32.925000000000004,5.883333333333333,487.1666666666667
2019-03-20,29.724999999999998,7.258333333333333,407.5833333333333
2019-03-21,31.71666666666667,5.608333333333333,493.4166666666667
2019-03-22,30.808333333333334,4.241666666666666,461.3333333333333
2019-03-23,31.45,9.183333333333334,466.1666666666667
2019-03-24,32.84166666666667,5.333333333333333,500.6666666666667
2019-03-25,33.891666666666666,5.933333333333334,540.25
2019-03-26,33.81666666666667,6.3500000000000005,509.1666666666667
2019-03-27,33.675000000000004,6.508333333333333,529.0833333333334
2019-03-28,33.300000000000004,6.266666666666667,490.75
2019-03-29,31.075,5.558333333333334,478.6666666666667
2019-03-30,30.599999999999998,6.3,460.5
2019-03-31,32.675000000000004,5.6000000000000005,497.1666666666667
2019-04-01,29.441666666666666,7.191666666666666,351.25
2019-04-02,31.191666666666666,6.3500000000000005,399.5
2019-04-03,33.18333333333333,15.174999999999999,576.1666666666666
2019-04-04,33.80833333333333,12.633333333333333,584.0833333333334
2019-04-05,33.725,7.991666666666667,560.3333333333334
2019-04-06,34.34166666666667,5.491666666666667,553.3333333333334
2019-04-07,35.016666666666666,6.708333333333333,561.75
2019-04-08,33.30833333333333,7.375,499.0
2019-04-09,32.94166666666667,5.716666666666666,461.3333333333333
2019-04-10,30.425,5.5,446.0833333333333
2019-04-11,29.21666666666667,4.483333333333333,361.1666666666667
2019-04-12,32.49166666666667,5.075,538.6666666666666
2019-04-13,33.44166666666667,5.516666666666667,513.25
2019-04-14,32.375,5.108333333333333,441.25
2019-04-15,30.608333333333334,3.891666666666667,427.4166666666667
2019-04-16,32.166666666666664,9.083333333333334,559.8333333333334
