Fecha_Mensual,Temperatura_Tt,Viento_Wt,Irradiancia_It
2019-01,32.78089330024814,9.848883374689827,452.55831265508687
2019-02,33.52527472527473,11.30054945054945,482.65384615384613
2019-03,32.87593052109181,7.972456575682382,460.03225806451616
2019-04,31.94897435897436,6.257692307692308,445.36410256410255
2019-05,29.77245657568238,4.975186104218363,363.6029776674938
2019-06,31.178974358974358,5.934871794871794,421.8820512820513
2019-07,33.020595533498756,6.019106699751861,464.5136476426799
2019-08,33.24143920595533,6.299503722084367,454.43424317617865
2019-09,30.807435897435898,5.206666666666666,403.5948717948718
2019-10,28.395533498759303,3.95136476426799,374.77171215880895
2019-11,30.657435897435896,5.2412820512820515,402.83846153846156
2019-12,32.417866004962775,6.656575682382134,405.5285359801489
2020-01,32.70669975186104,11.909429280397022,438.0967741935484
2020-02,34.57453580901857,11.853846153846153,484.51193633952255
2020-03,34.8667493796526,11.068734491315135,502.22084367245657
2020-04,32.58358974358975,5.540769230769231,462.4717948717949
2020-05,30.79032258064516,4.826302729528536,412.3920595533499
2020-06,30.632564102564103,5.362564102564103,441.6179487179487
2020-07,29.900000000000002,4.4364764267990076,421.35732009925556
2020-08,30.083374689826304,4.759801488833747,414.08684863523575
2020-09,28.756153846153847,4.716923076923076,397.9846153846154
2020-10,28.76451612903226,4.587344913151365,383.75186104218363
2020-11,28.194615384615382,4.533076923076924,352.9641025641026
2020-12,31.71315136476427,7.923325062034739,416.8833746898263
2021-01,33.13771712158809,10.783126550868488,462.6625310173697
2021-02,34.06346153846154,9.54478021978022,476.60164835164835
2021-03,33.44789081885856,10.167741935483871,467.605459057072
2021-04,31.082307692307694,5.46076923076923,408.5128205128205
2021-05,30.446401985111663,5.285359801488834,426.44168734491313
2021-06,29.69897435897436,4.295128205128205,400.37692307692305
2021-07,31.46575682382134,6.087841191066998,439.8908188585608
2021-08,28.9697270471464,4.496029776674938,403.18114143920593
2021-09,29.20769230769231,3.8835897435897433,428.76153846153846
2021-10,28.318114143920596,4.1138957816377175,396.4739454094293
2021-11,28.608461538461537,4.411025641025641,414.6179487179487
2021-12,31.085111662531016,7.071464019851117,426.64516129032256
2022-01,32.662779156327545,7.424565756823821,457.1439205955335
2022-02,33.136538461538464,11.255769230769232,473.9010989010989
2022-03,31.67593052109181,7.418858560794045,464.28287841191064
2022-04,29.26358974358974,5.359230769230769,425.84871794871793
2022-05,28.73424317617866,3.9076923076923076,412.5136476426799
2022-06,27.442820512820514,4.083846153846154,396.55641025641023
2022-07,28.8985111662531,4.612655086848635,449.48883374689825
2022-08,28.452853598014887,4.149875930521092,433.029776674938
2022-09,27.784615384615385,4.057948717948718,407.1384615384615
2022-10,27.427295285359804,4.062531017369727,387.5682382133995
2022-11,27.42410256410256,4.718974358974359,378.55128205128204
2022-12,29.46923076923077,6.813895781637717,446.87344913151367
2023-01,29.93573200992556,7.759305210918114,447.6923076923077
2023-02,32.60631868131868,13.410714285714286,500.260989010989
2023-03,31.66352357320099,8.378660049627792,472.3895781637717
2023-04,30.803076923076926,6.2620512820512815,466.6333333333333
2023-05,30.291315136476427,4.4434243176178665,434.0843672456576
2023-06,29.716153846153844,3.9615384615384617,440.35897435897436
2023-07,31.120099255583124,3.9818858560794044,465.1166253101737
2023-08,31.165260545905706,4.422332506203474,458.62531017369724
2023-09,31.076410256410256,4.662564102564103,451.8692307692308
2023-10,28.972208436724564,4.727543424317618,401.35483870967744
2023-11,29.165128205128205,4.325641025641025,405.52564102564105
2023-12,31.629280397022335,6.732754342431762,431.58560794044666
