Año,Mes,Recurso,6,7,8,9,10,11,12,13,14,15,16,17,Total_Generacion,Temperatura_Tt,Viento_Wt,Irradiancia_It
2019,1,EL PASO,510.00375,4030.3920833333336,7648.948333333334,9779.89875,10665.139166666666,11055.09875,11193.907083333334,10866.255,10123.337916666665,7839.864166666666,4540.126666666666,895.8891666666667,89148.86083333334,33.081250000000004,10.03125,491.7083333333333
2019,2,EL PASO,1058.4760714285715,7235.299642857142,13439.839285714286,16284.332857142857,18510.215357142857,20015.82607142857,20321.048214285714,19957.629285714287,17905.289285714283,14296.567857142858,8896.358571428571,2315.89,160236.7725,33.44166666666667,11.20029761904762,517.1577380952381
2019,3,EL PASO,2883.484193548387,15704.177419354839,28329.5535483871,35280.02129032258,38586.52483870968,40127.63,40865.54129032258,38190.21677419355,33766.859032258064,26857.028387096776,15516.883548387097,3096.1061290322577,319204.02645161294,32.86317204301075,7.873655913978495,493.5430107526882
2019,4,EL PASO,6258.486206896552,23531.795172413797,36290.206551724135,42580.77172413793,45477.62379310345,44879.07655172414,45681.560689655176,43082.487586206895,40217.25379310345,31858.371379310345,17388.72344827586,3391.7210344827586,380638.0779310345,31.89281609195402,6.2795977011494255,474.86494252873564
2019,5,EL PASO,5097.250967741936,14793.886451612903,25023.444838709678,31494.733870967742,33480.20741935484,37182.95451612904,37822.72129032257,34635.39838709678,29999.705483870966,21812.729032258063,10776.047419354838,2179.3493548387096,284298.4290322581,29.84731182795699,4.9174731182795695,389.7607526881721
2019,6,EL PASO,5858.327333333334,17261.99466666667,30467.458,39126.26766666667,43739.32866666667,43380.42366666666,43079.977333333336,39762.274,33620.08266666667,26201.65566666667,14525.668,4100.562666666667,341124.0203333333,31.235,5.880277777777778,451.325
2019,7,EL PASO,5374.148064516129,18533.01516129032,29781.929032258067,38875.713548387095,43539.316774193554,46444.374516129035,44742.397741935485,42679.767096774194,36885.434838709676,26068.610645161287,13904.718387096775,3616.471935483871,350445.8977419355,33.07204301075269,5.868817204301076,496.22849462365593
2019,8,EL PASO,4229.272580645162,16450.48806451613,28413.800967741936,39482.62193548387,45519.918064516125,47974.62580645161,48022.58225806452,46113.49806451613,40826.92870967742,29322.272258064513,13794.643225806452,2894.8996774193547,363045.5516129032,33.33010752688172,6.146236559139785,486.63709677419354
2019,9,EL PASO,4590.776333333333,16658.744333333332,30001.38866666667,39216.887,41601.86233333334,43206.85166666667,45005.70533333333,46203.01433333333,40951.443333333336,30631.164333333334,14309.442000000001,2269.311,354646.5906666667,30.897222222222222,5.1899999999999995,434.2
2019,10,EL PASO,5670.557741935484,19364.80193548387,28719.52129032258,36915.720322580644,40150.38,42845.79419354839,43166.20709677419,42528.04290322581,34976.06451612903,29114.410967741936,12717.962903225805,869.6470967741936,337039.11096774193,28.48736559139785,3.985752688172043,404.7983870967742
2019,11,EL PASO,6649.414666666667,27006.692,36308.975,42551.04066666667,46481.941,48235.365333333335,46268.017,44379.202333333335,39229.464,29417.335333333336,12249.843333333332,443.8073333333333,379221.098,30.79111111111111,5.120555555555556,435.6472222222222
2019,12,EL PASO,3890.7770967741935,23398.97806451613,37842.28451612903,42374.606451612904,43092.28129032258,42612.481290322576,41907.14161290322,40481.91741935484,36099.9735483871,30203.696774193548,13260.51064516129,882.5174193548387,356047.16612903227,32.4994623655914,6.612903225806452,437.9274193548387
2020,1,EL PASO,2122.84,22701.206451612903,42140.86129032258,49298.30322580645,51626.91419354839,52205.36612903226,51890.83677419354,50759.052580645155,47360.24612903226,41331.716129032255,23528.12935483871,3585.3,438550.7722580645,32.744623655913976,11.825,470.93279569892474
2020,2,EL PASO,2297.502068965517,24754.77724137931,45813.38172413794,51594.425862068965,53734.05413793104,53307.9175862069,53682.09344827586,51380.77275862069,48683.200689655176,43011.261379310345,28854.169310344827,6094.410689655173,463207.9668965517,34.53706896551724,11.505172413793103,519.169540229885
2020,3,EL PASO,4210.3896774193545,26592.87516129032,43698.74290322581,51014.03032258064,53160.742580645165,54164.143548387096,52355.1835483871,48972.070645161286,45110.277096774196,39164.76741935484,24241.837419354837,4660.668064516129,447345.7283870968,34.82365591397849,10.704569892473117,538.7688172043011
2020,4,EL PASO,7614.75,27605.30166666667,40534.185333333335,45804.523,49120.789333333334,48553.91366666667,48540.002,46244.768000000004,43478.849,36231.65866666667,21091.554333333333,3408.3716666666664,418228.6666666667,32.60888888888889,5.453611111111112,496.2388888888889
2020,5,EL PASO,8080.077096774194,23925.62935483871,33684.89548387097,39740.599677419355,43841.56903225806,44821.53548387097,45142.97483870968,42829.28677419355,40600.70322580645,36461.12935483871,19548.50258064516,2877.0387096774193,381553.9416129032,30.852150537634408,4.696236559139785,442.255376344086
2020,6,EL PASO,8224.430666666667,23827.303666666667,33807.185333333335,38815.38333333333,42756.382333333335,44450.621666666666,43827.73266666666,43618.56533333333,37216.581666666665,32657.975333333332,21752.751666666667,4422.236999999999,375377.1506666666,30.6675,5.303888888888889,472.275
2020,7,EL PASO,4425.327096774193,13905.779354838709,27197.554838709675,34607.055806451615,39638.085483870964,44873.259032258065,47354.79483870968,44379.66064516129,45085.0264516129,36076.562258064514,19573.47741935484,4472.726774193548,361589.31,29.962903225806453,4.369623655913979,450.5591397849462
2020,8,EL PASO,4047.7245161290325,15091.101612903227,26236.301612903226,33200.81290322581,39115.57451612903,42702.21741935484,44284.75258064517,40274.030967741935,37162.38870967742,26137.152903225808,13077.821612903226,3381.361935483871,324711.2412903226,30.18951612903226,4.714516129032258,443.8817204301075
2020,9,EL PASO,3841.9753333333333,14112.043,27600.13133333333,36348.226,42362.99166666667,44065.12233333333,45118.20466666667,43955.775,39458.229,29015.1,14914.437666666667,2153.3033333333333,342945.5393333333,28.869444444444444,4.706388888888889,428.56944444444446
2020,10,EL PASO,4041.403870967742,14144.29741935484,26937.196129032258,35510.76677419355,42821.38225806452,45136.2764516129,44114.072258064516,41822.051612903226,33546.22838709677,21578.88870967742,8096.644516129031,630.3993548387097,318379.60774193547,28.883602150537634,4.541935483870968,414.56720430107526
2020,11,EL PASO,2834.866666666667,13113.359333333334,23519.670666666665,31724.587333333333,37020.41333333333,37835.115,37496.168,34726.37433333333,26502.765,17629.845666666668,7924.711333333334,421.9786666666667,270749.8553333333,28.3125,4.5872222222222225,381.6972222222222
2020,12,EL PASO,2463.0229032258067,16165.400967741934,30168.999032258063,37860.24580645162,42873.67419354838,43820.488064516125,42557.13064516129,38929.200967741934,33098.58806451613,23518.080967741935,11482.522903225807,855.0054838709679,323792.36,31.792473118279567,7.918548387096774,450.0
2021,1,EL PASO,1572.0709677419354,14672.222903225807,29543.026774193546,38337.511935483875,43735.552903225805,45403.3335483871,45976.49677419355,42073.49451612904,36714.09032258065,27424.953225806454,15348.655161290322,2422.280322580645,343223.68935483875,33.141129032258064,10.567473118279569,497.13440860215053
2021,2,EL PASO,2000.9682142857143,17887.42892857143,34042.90964285714,43356.2675,48113.94357142857,50131.362857142856,48621.14357142857,45372.5025,40701.537142857145,32043.755714285715,18598.033571428572,3647.7010714285716,384517.5542857143,34.025,9.216964285714285,510.9702380952381
2021,3,EL PASO,3888.3033333333337,20007.646,34122.45133333334,40941.696,46197.54033333333,44849.729999999996,45176.59033333333,40273.862,37956.108,31199.383333333335,17893.995333333332,3631.182,366138.488,33.48361111111111,10.034444444444444,502.5833333333333
2021,4,EL PASO,5083.984137931035,18987.829655172416,29340.12275862069,39632.23275862069,42151.56620689655,43968.85137931034,43319.9775862069,42084.31724137931,36155.27068965517,28092.934827586207,15243.024827586209,2974.2999999999997,347034.41206896555,31.1198275862069,5.396264367816093,436.1465517241379
