Fecha,Recurso,Tipo Generación,Combustible,Código Agente,Tipo Despacho,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Version
2019-01-26 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,824.38,3023.46,2820.92,2592.8,2191.54,1886.45,1963.48,2083.68,2150.8,2145.55,2144.72,1134.07,0.0,0.0,0.0,0.0,0.0,0.0,TX6
2019-01-27 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,610.89,2247.0,2246.96,2242.11,2233.99,2224.08,2215.41,2208.13,2200.61,2197.91,2198.46,1068.71,0.0,0.0,0.0,0.0,0.0,0.0,TX6
2019-01-28 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,615.73,2237.02,1634.73,1240.79,1359.06,1370.76,1364.28,1360.05,3934.38,4051.42,3971.75,776.09,0.0,0.0,0.0,0.0,0.0,0.0,TX6
2019-01-29 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,500.66,3289.9,5260.32,6345.34,7353.06,8167.72,8172.11,2346.36,5533.82,6042.97,4192.9,732.06,0.0,0.0,0.0,0.0,0.0,0.0,TX6
2019-01-30 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,530.23,5021.74,9701.59,14096.4,16682.38,14155.92,14581.33,20565.08,17508.14,14226.85,8998.63,2048.16,0.0,0.0,0.0,0.0,0.0,0.0,TX6
2019-01-31 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,840.75,7886.33,17829.95,24090.91,27442.72,27671.87,27205.07,25251.96,23887.8,12780.92,8131.16,1574.03,0.0,0.0,0.0,0.0,0.0,0.0,TX6
2019-02-01 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,802.97,8032.73,17343.75,24043.16,27260.37,27635.6,22760.91,25171.69,21126.55,16339.35,9833.28,1693.99,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-02 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,723.45,3477.21,3513.77,3507.62,3498.21,3482.34,3465.56,3458.52,3452.26,3446.66,3446.86,2059.59,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-03 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,866.05,3298.43,3309.18,3302.31,3285.76,3271.82,3180.92,3048.91,3045.2,3040.66,3037.74,1571.87,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-04 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,823.04,3076.03,2700.75,2706.91,2637.31,2565.08,2919.6,3178.16,3785.85,4436.78,4496.9,1508.49,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-05 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,630.33,4332.41,4538.04,2175.27,2201.8,2116.01,2107.52,2101.38,2096.79,2095.5,2049.32,742.63,0.0,0.0,0.0,0.0,0.0,0.0,TX4
